state,region,soil_type,rainfall_mm,season,area_ha,crop_name,predicted_yield_kg_per_ha
West Bengal,East,Red,1012,Kharif,1.04,Maize,3311
Uttarakhand,North,Alluvial,1154,Kharif,3.73,Vegetables,17461
Andhra Pradesh,South,Loamy,1183,Kharif,2.21,Potato,25952
Goa,West,Sandy,1143,Kharif,2.11,Vegetables,13187
Tamil Nadu,South,Black (Regur),686,Rabi,1.53,Cotton,2058
West Bengal,East,Loamy,1304,Kharif,3.23,Vegetables,14667
Uttarakhand,North,Black (Regur),919,Kharif,1.22,Potato,22971
Manipur,Northeast,Loamy,1189,Rabi,2.19,Jute,3277
Madhya Pradesh,Central,Loamy,804,Kharif,1.23,Sugarcane,67205
Karnataka,South,Red,1628,Zaid,0.33,Vegetables,12828
Uttar Pradesh,North,Sandy,1343,Kharif,1.25,Maize,2677
Nagaland,Northeast,Laterite,1457,Kharif,0.46,Maize,2379
Tamil Nadu,South,Alluvial,1249,Kharif,1.31,Potato,26669
Maharashtra,West,Sandy,1224,Rabi,0.86,Pulses,952
Karnataka,South,Laterite,1277,Rabi,0.7,Oilseeds,1135
Chhattisgarh,Central,Black (Regur),812,Kharif,0.26,Oilseeds,1201
Kerala,South,Black (Regur),1241,Kharif,0.1,Wheat,2994
Gujarat,West,Laterite,1070,Rabi,0.11,Millets,1585
Odisha,East,Clay,796,Rabi,1.74,Oilseeds,1435
Karnataka,South,Loamy,416,Kharif,3.47,Wheat,3066
Chhattisgarh,Central,Loamy,183,Rabi,2.35,Vegetables,15686
Karnataka,South,Black (Regur),843,Kharif,0.1,Vegetables,16332
West Bengal,East,Red,885,Rabi,0.1,Vegetables,17139
Madhya Pradesh,Central,Clay,1397,Rabi,2.75,Maize,3097
Madhya Pradesh,Central,Loamy,738,Kharif,3.56,Potato,26962
Punjab,North,Clay,1000,Kharif,2.74,Pulses,940
Odisha,East,Black (Regur),658,Rabi,0.66,Pulses,907
Mizoram,Northeast,Laterite,743,Rabi,0.1,Sugarcane,69318
Mizoram,Northeast,Alluvial,731,Zaid,1.6,Maize,3449
Jharkhand,East,Red,264,Rabi,0.66,Sugarcane,50075
Maharashtra,West,Loamy,895,Rabi,2.42,Wheat,3680
Andhra Pradesh,South,Laterite,950,Rabi,1.2,Pulses,1006
Jharkhand,East,Clay,732,Rabi,0.84,Maize,3482
Assam,Northeast,Clay,847,Rabi,1.59,Pulses,959
Goa,West,Black (Regur),1297,Rabi,1.15,Oilseeds,1397
Uttarakhand,North,Loamy,654,Zaid,0.1,Wheat,2391
Andhra Pradesh,South,Loamy,1030,Zaid,0.86,Millets,1422
Haryana,North,Clay,1340,Kharif,2.56,Maize,2865
Andhra Pradesh,South,Loamy,1230,Rabi,1.19,Oilseeds,1522
Gujarat,West,Black (Regur),1322,Kharif,1.58,Pulses,932
West Bengal,East,Loamy,812,Rabi,2.84,Oilseeds,1500
Telangana,South,Clay,912,Rabi,1.92,Rice,3410
Karnataka,South,Loamy,554,Kharif,1.73,Millets,1491
Tamil Nadu,South,Loamy,778,Kharif,2.22,Cotton,2307
Sikkim,Northeast,Clay,290,Rabi,1.99,Pulses,864
Uttarakhand,North,Red,1078,Rabi,0.1,Vegetables,16527
Tamil Nadu,South,Laterite,1093,Kharif,2.66,Pulses,925
Meghalaya,Northeast,Alluvial,752,Zaid,2.22,Millets,1452
Uttarakhand,North,Clay,522,Kharif,2.2,Wheat,2692
Meghalaya,Northeast,Red,948,Rabi,0.1,Maize,3759
West Bengal,East,Loamy,1407,Kharif,0.79,Wheat,2979
Uttar Pradesh,North,Alluvial,1036,Rabi,1.65,Millets,1760
Gujarat,West,Red,926,Rabi,0.1,Wheat,2859
Kerala,South,Clay,1404,Kharif,1.11,Rice,2562
Uttar Pradesh,North,Laterite,550,Kharif,2.95,Jute,2105
Haryana,North,Black (Regur),1105,Rabi,2.47,Pulses,1178
West Bengal,East,Alluvial,960,Kharif,0.1,Sugarcane,81736
Assam,Northeast,Clay,1368,Kharif,2.26,Millets,1464
Chhattisgarh,Central,Loamy,1085,Zaid,0.1,Potato,22090
Sikkim,Northeast,Loamy,931,Rabi,1.42,Potato,29639
Punjab,North,Black (Regur),1219,Rabi,0.41,Vegetables,19994
Tamil Nadu,South,Loamy,982,Kharif,2.46,Rice,3427
Madhya Pradesh,Central,Laterite,698,Kharif,1.29,Sugarcane,56150
Mizoram,Northeast,Alluvial,1016,Kharif,0.1,Cotton,2463
Jharkhand,East,Alluvial,1026,Rabi,0.72,Sugarcane,80178
Arunachal Pradesh,Northeast,Black (Regur),872,Kharif,0.19,Cotton,2339
Odisha,East,Loamy,1022,Rabi,0.77,Potato,26260
Uttar Pradesh,North,Laterite,675,Rabi,1.39,Jute,2264
Gujarat,West,Alluvial,623,Kharif,2.06,Wheat,2669
Chhattisgarh,Central,Red,585,Rabi,2.38,Pulses,959
Odisha,East,Black (Regur),1360,Rabi,0.87,Pulses,996
Chhattisgarh,Central,Black (Regur),731,Kharif,0.1,Wheat,3207
Manipur,Northeast,Sandy,1288,Kharif,1.01,Pulses,740
Kerala,South,Laterite,801,Kharif,2.59,Potato,20731
Uttar Pradesh,North,Black (Regur),1395,Kharif,0.1,Cotton,1770
Telangana,South,Red,1230,Kharif,1.88,Potato,22233
Karnataka,South,Loamy,1010,Rabi,1.99,Millets,1856
Manipur,Northeast,Loamy,1036,Kharif,0.1,Pulses,997
Madhya Pradesh,Central,Loamy,861,Rabi,0.1,Maize,4157
Odisha,East,Red,1173,Rabi,2.58,Cotton,2394
Nagaland,Northeast,Sandy,901,Kharif,0.1,Rice,2474
Nagaland,Northeast,Clay,1175,Kharif,0.1,Vegetables,16612
Uttar Pradesh,North,Sandy,942,Kharif,1.3,Pulses,751
Andhra Pradesh,South,Red,1271,Kharif,1.31,Potato,20382
Himachal Pradesh,North,Black (Regur),1612,Rabi,2.61,Maize,3011
Arunachal Pradesh,Northeast,Laterite,769,Kharif,2.54,Wheat,2408
Haryana,North,Black (Regur),167,Kharif,1.42,Potato,16856
Manipur,Northeast,Alluvial,963,Kharif,3.99,Potato,25684
Odisha,East,Sandy,1173,Rabi,2.6,Oilseeds,1080
Rajasthan,West,Laterite,1421,Kharif,1.31,Sugarcane,57416
Nagaland,Northeast,Black (Regur),583,Zaid,0.3,Maize,2585
Meghalaya,Northeast,Loamy,647,Kharif,2.86,Vegetables,17534
Jharkhand,East,Sandy,1292,Kharif,2.49,Maize,2984
Himachal Pradesh,North,Sandy,711,Zaid,3.15,Jute,1979
Tripura,Northeast,Loamy,718,Zaid,2.62,Vegetables,15769
Tamil Nadu,South,Sandy,1265,Kharif,0.46,Pulses,812
Tamil Nadu,South,Sandy,1211,Kharif,0.28,Sugarcane,52570
Uttarakhand,North,Alluvial,1116,Kharif,0.1,Jute,2709
Uttarakhand,North,Alluvial,765,Kharif,2.07,Rice,3272
Andhra Pradesh,South,Loamy,1249,Kharif,2.39,Potato,26486
Haryana,North,Red,432,Kharif,1.58,Vegetables,13599
Gujarat,West,Alluvial,582,Rabi,0.91,Sugarcane,70141
Telangana,South,Sandy,477,Kharif,0.45,Maize,2459
Odisha,East,Loamy,1061,Rabi,3.19,Millets,1883
Himachal Pradesh,North,Alluvial,445,Zaid,0.1,Rice,3021
Karnataka,South,Red,551,Kharif,1.34,Sugarcane,61701
Telangana,South,Black (Regur),779,Kharif,2.59,Jute,2424
Odisha,East,Laterite,795,Zaid,1.72,Cotton,1597
Karnataka,South,Alluvial,839,Kharif,1.61,Millets,1883
Uttarakhand,North,Laterite,1176,Zaid,0.1,Sugarcane,58534
Assam,Northeast,Clay,753,Kharif,1.7,Rice,3412
Madhya Pradesh,Central,Alluvial,1399,Rabi,2.32,Rice,3137
Rajasthan,West,Alluvial,818,Rabi,2.63,Wheat,3640
Maharashtra,West,Loamy,579,Rabi,1.89,Pulses,1092
Punjab,North,Loamy,643,Rabi,1.8,Cotton,2080
Andhra Pradesh,South,Clay,1028,Rabi,1.15,Sugarcane,71415
Maharashtra,West,Laterite,930,Kharif,1.09,Potato,21141
Mizoram,Northeast,Red,737,Rabi,1.33,Oilseeds,1266
Karnataka,South,Sandy,855,Rabi,1.13,Sugarcane,67887
Nagaland,Northeast,Laterite,772,Zaid,0.88,Wheat,2305
Sikkim,Northeast,Black (Regur),707,Rabi,2.88,Jute,2978
Maharashtra,West,Clay,226,Zaid,1.57,Millets,1020
Haryana,North,Black (Regur),1157,Rabi,1.18,Pulses,1027
Goa,West,Alluvial,1045,Kharif,1.61,Potato,25107
Rajasthan,West,Alluvial,977,Zaid,2.43,Cotton,2239
Telangana,South,Laterite,1471,Kharif,1.81,Wheat,2050
Sikkim,Northeast,Alluvial,981,Kharif,2.78,Jute,2943
Sikkim,Northeast,Clay,1353,Zaid,0.1,Wheat,2094
Chhattisgarh,Central,Black (Regur),768,Rabi,2.66,Millets,1726
Arunachal Pradesh,Northeast,Clay,965,Kharif,0.46,Rice,3231
Himachal Pradesh,North,Sandy,931,Rabi,1.98,Oilseeds,1246
Punjab,North,Clay,902,Rabi,0.34,Sugarcane,74538
Karnataka,South,Black (Regur),662,Rabi,1.53,Pulses,1014
Uttar Pradesh,North,Laterite,690,Rabi,1.76,Cotton,1808
Madhya Pradesh,Central,Red,1331,Kharif,2.52,Potato,18601
Kerala,South,Sandy,598,Rabi,2.1,Pulses,778
Meghalaya,Northeast,Laterite,888,Kharif,1.97,Wheat,2537
Mizoram,Northeast,Clay,921,Kharif,2.1,Jute,2287
Gujarat,West,Red,1082,Kharif,0.1,Potato,20587
Punjab,North,Clay,675,Rabi,1.25,Potato,21986
Kerala,South,Black (Regur),902,Rabi,1.31,Millets,1823
Tripura,Northeast,Laterite,898,Kharif,0.14,Sugarcane,62493
Nagaland,Northeast,Black (Regur),1397,Kharif,2.69,Pulses,896
Tamil Nadu,South,Clay,622,Rabi,2.62,Maize,3213
Telangana,South,Clay,948,Kharif,2.75,Pulses,994
Tamil Nadu,South,Alluvial,1060,Rabi,1.63,Jute,3090
Uttar Pradesh,North,Clay,362,Kharif,3.48,Wheat,2678
Gujarat,West,Black (Regur),838,Rabi,2.19,Millets,1838
Arunachal Pradesh,Northeast,Alluvial,1598,Kharif,2.8,Potato,20498
Jharkhand,East,Alluvial,1166,Kharif,1.57,Pulses,1016
Bihar,East,Loamy,1477,Kharif,0.83,Maize,3340
Jharkhand,East,Black (Regur),669,Kharif,1.03,Cotton,1995
Sikkim,Northeast,Laterite,1084,Kharif,0.1,Cotton,1899
Odisha,East,Sandy,1263,Kharif,2.44,Oilseeds,1038
Uttarakhand,North,Sandy,1082,Rabi,0.49,Maize,3392
Telangana,South,Loamy,627,Kharif,1,Rice,2917
West Bengal,East,Sandy,1301,Kharif,0.57,Cotton,1655
Maharashtra,West,Red,1303,Kharif,2.76,Jute,2015
Goa,West,Black (Regur),610,Kharif,0.12,Oilseeds,1168
Telangana,South,Alluvial,1403,Kharif,3.27,Jute,2456
Manipur,Northeast,Sandy,826,Rabi,0.25,Oilseeds,1253
Uttarakhand,North,Sandy,798,Kharif,2.93,Pulses,749
Sikkim,Northeast,Laterite,1107,Kharif,3.21,Millets,1426
Manipur,Northeast,Clay,669,Kharif,0.1,Wheat,2601
Jharkhand,East,Alluvial,974,Rabi,0.1,Jute,3298
Gujarat,West,Alluvial,1058,Kharif,3.17,Cotton,2521
Bihar,East,Laterite,1245,Rabi,1.89,Jute,2406
Rajasthan,West,Sandy,703,Kharif,1.88,Wheat,2427
Goa,West,Alluvial,792,Kharif,1.61,Potato,26172
Kerala,South,Black (Regur),203,Kharif,0.1,Wheat,2451
Uttar Pradesh,North,Laterite,1119,Kharif,2.1,Millets,1473
Sikkim,Northeast,Laterite,489,Kharif,0.1,Jute,2248
Sikkim,Northeast,Sandy,559,Zaid,1.95,Cotton,1454
Tamil Nadu,South,Sandy,1056,Rabi,2.12,Pulses,929
Punjab,North,Black (Regur),1017,Kharif,2.16,Rice,3134
Telangana,South,Loamy,1074,Rabi,2.28,Rice,3757
Maharashtra,West,Alluvial,870,Kharif,0.41,Cotton,2328
Sikkim,Northeast,Loamy,671,Rabi,0.76,Jute,2537
Rajasthan,West,Alluvial,1782,Zaid,2.7,Cotton,1648
Goa,West,Laterite,1325,Kharif,2.41,Potato,16623
Gujarat,West,Laterite,202,Kharif,0.1,Cotton,1374
Uttar Pradesh,North,Red,1059,Kharif,2.63,Sugarcane,66256
Maharashtra,West,Clay,923,Kharif,0.24,Wheat,3092
Jharkhand,East,Loamy,712,Kharif,2.2,Potato,24325
Punjab,North,Loamy,1009,Kharif,2.14,Rice,3648
Telangana,South,Black (Regur),1184,Zaid,1.29,Oilseeds,1144
Odisha,East,Alluvial,719,Kharif,1.18,Pulses,1134
Tripura,Northeast,Sandy,709,Rabi,0.64,Rice,3034
Maharashtra,West,Alluvial,597,Zaid,2.94,Rice,2932
Rajasthan,West,Loamy,906,Kharif,3.08,Millets,1817
Andhra Pradesh,South,Loamy,581,Zaid,2.46,Wheat,2595
Gujarat,West,Black (Regur),646,Kharif,4.48,Millets,1611
Odisha,East,Loamy,1202,Rabi,2.49,Jute,3181
Himachal Pradesh,North,Black (Regur),1082,Rabi,1.53,Oilseeds,1310
Assam,Northeast,Black (Regur),880,Rabi,0.77,Jute,2728
Chhattisgarh,Central,Alluvial,975,Kharif,0.79,Rice,3638
Uttar Pradesh,North,Clay,606,Kharif,0.3,Millets,1329
Jharkhand,East,Alluvial,606,Kharif,0.8,Millets,1649
Andhra Pradesh,South,Alluvial,921,Rabi,1.16,Cotton,2552
Andhra Pradesh,South,Clay,397,Kharif,1.68,Vegetables,14985
Kerala,South,Red,1313,Rabi,0.86,Pulses,865
Kerala,South,Alluvial,746,Kharif,0.1,Maize,3345
Bihar,East,Loamy,903,Rabi,2.82,Millets,1930
Meghalaya,Northeast,Alluvial,1429,Zaid,0.92,Rice,2744
West Bengal,East,Red,935,Rabi,2.87,Vegetables,18588
Kerala,South,Black (Regur),1305,Zaid,0.1,Pulses,733
Gujarat,West,Sandy,884,Rabi,1.2,Oilseeds,1248
Jharkhand,East,Clay,1494,Kharif,0.1,Oilseeds,1115
Haryana,North,Loamy,1648,Rabi,3.84,Rice,2989
Karnataka,South,Laterite,528,Rabi,0.1,Millets,1304
Chhattisgarh,Central,Black (Regur),682,Kharif,0.1,Vegetables,16810
Punjab,North,Loamy,831,Rabi,0.1,Sugarcane,88641
Maharashtra,West,Alluvial,1109,Kharif,2.2,Vegetables,20095
Telangana,South,Laterite,1277,Rabi,1.05,Rice,3000
Odisha,East,Black (Regur),600,Kharif,2.86,Maize,3204
Punjab,North,Alluvial,737,Kharif,1.66,Potato,27123
Meghalaya,Northeast,Red,626,Kharif,0.1,Rice,2761
Jharkhand,East,Red,807,Zaid,0.18,Cotton,1793
Tamil Nadu,South,Clay,996,Kharif,0.77,Cotton,2184
Arunachal Pradesh,Northeast,Clay,227,Kharif,3.68,Millets,1298
Goa,West,Red,626,Kharif,1.68,Pulses,794
Mizoram,Northeast,Laterite,770,Rabi,1.34,Jute,2620
Odisha,East,Loamy,678,Kharif,0.2,Oilseeds,1279
Jharkhand,East,Clay,896,Rabi,1.34,Vegetables,17008
Uttar Pradesh,North,Black (Regur),950,Rabi,1.86,Jute,3186
Goa,West,Sandy,239,Rabi,0.1,Millets,1171
Haryana,North,Black (Regur),748,Kharif,1.08,Pulses,1046
Uttar Pradesh,North,Black (Regur),758,Rabi,0.72,Millets,1799
Andhra Pradesh,South,Black (Regur),1079,Rabi,1.03,Vegetables,19687
Odisha,East,Alluvial,1044,Rabi,2.75,Millets,1983
Jharkhand,East,Alluvial,1141,Rabi,0.37,Pulses,1214
Andhra Pradesh,South,Clay,538,Rabi,1.6,Vegetables,16850
Uttarakhand,North,Clay,818,Kharif,1,Vegetables,17455
Andhra Pradesh,South,Alluvial,511,Kharif,0.71,Wheat,2962
West Bengal,East,Alluvial,653,Kharif,2.64,Pulses,1030
Sikkim,Northeast,Sandy,800,Zaid,2.93,Maize,2610
Tamil Nadu,South,Red,443,Rabi,1.38,Millets,1584
Haryana,North,Clay,1292,Rabi,1.07,Cotton,2352
Himachal Pradesh,North,Alluvial,870,Kharif,3.23,Maize,3622
Assam,Northeast,Loamy,1021,Kharif,3.12,Potato,27419
Tamil Nadu,South,Sandy,1075,Rabi,0.1,Pulses,940
Karnataka,South,Alluvial,903,Zaid,2.45,Sugarcane,62297
Nagaland,Northeast,Alluvial,779,Kharif,2.33,Cotton,2205
Bihar,East,Black (Regur),931,Zaid,0.9,Sugarcane,67441
Jharkhand,East,Alluvial,715,Kharif,0.1,Sugarcane,71637
Bihar,East,Clay,622,Kharif,3.13,Sugarcane,62388
West Bengal,East,Red,726,Kharif,1.44,Maize,2963
Odisha,East,Loamy,543,Rabi,3.02,Millets,1729
Tamil Nadu,South,Red,659,Rabi,1.49,Pulses,897
Tamil Nadu,South,Red,1118,Rabi,2.03,Jute,2815
Rajasthan,West,Alluvial,1362,Kharif,2.2,Sugarcane,69878
Uttar Pradesh,North,Black (Regur),1048,Rabi,1.23,Oilseeds,1459
Sikkim,Northeast,Black (Regur),1107,Kharif,3.61,Rice,3449
Tamil Nadu,South,Loamy,1891,Rabi,0.1,Sugarcane,72056
Arunachal Pradesh,Northeast,Loamy,955,Zaid,0.1,Maize,2988
Uttarakhand,North,Alluvial,689,Kharif,2.3,Wheat,2831
Sikkim,Northeast,Clay,814,Rabi,2.84,Potato,23951
Telangana,South,Red,1249,Zaid,1.13,Rice,2927
Punjab,North,Alluvial,767,Rabi,2.49,Rice,3696
Telangana,South,Alluvial,1019,Kharif,2.89,Maize,3630
Meghalaya,Northeast,Red,699,Kharif,2.12,Pulses,875
Nagaland,Northeast,Black (Regur),747,Rabi,1.74,Pulses,983
West Bengal,East,Red,509,Kharif,2.72,Rice,2523
Gujarat,West,Red,549,Kharif,1.6,Millets,1411
Karnataka,South,Black (Regur),1412,Kharif,0.43,Pulses,787
Bihar,East,Red,924,Kharif,0.62,Millets,1594
Maharashtra,West,Black (Regur),874,Kharif,1.99,Pulses,942
Chhattisgarh,Central,Red,1533,Rabi,0.1,Cotton,1943
Maharashtra,West,Clay,849,Kharif,0.1,Cotton,2306
Odisha,East,Alluvial,1788,Kharif,2.37,Maize,3121
Punjab,North,Black (Regur),752,Kharif,3.09,Cotton,2082
Maharashtra,West,Loamy,1119,Kharif,2.23,Jute,2836
Haryana,North,Alluvial,758,Kharif,0.61,Potato,25267
Punjab,North,Black (Regur),854,Kharif,2.01,Rice,3428
Tripura,Northeast,Loamy,882,Rabi,0.1,Vegetables,19445
Rajasthan,West,Alluvial,1237,Rabi,2.95,Wheat,3230
Rajasthan,West,Black (Regur),1236,Zaid,2.18,Jute,2286
Meghalaya,Northeast,Loamy,1116,Kharif,2.4,Potato,26901
Tripura,Northeast,Red,447,Rabi,2.11,Pulses,816
Maharashtra,West,Clay,523,Kharif,0.42,Maize,2912
Odisha,East,Laterite,535,Rabi,2.59,Sugarcane,66897
Goa,West,Sandy,706,Rabi,2.06,Maize,2829
Odisha,East,Clay,421,Kharif,1.45,Potato,20078
Haryana,North,Alluvial,1112,Kharif,1.75,Rice,3561
Himachal Pradesh,North,Clay,1798,Kharif,1.05,Cotton,1812
Andhra Pradesh,South,Red,1487,Kharif,0.68,Potato,19645
Maharashtra,West,Alluvial,1180,Rabi,1.57,Potato,26143
Andhra Pradesh,South,Clay,483,Zaid,0.54,Pulses,838
Himachal Pradesh,North,Sandy,651,Kharif,1.88,Cotton,1641
Uttar Pradesh,North,Black (Regur),857,Kharif,0.36,Oilseeds,1215
Goa,West,Laterite,415,Kharif,1.62,Millets,1226
Jharkhand,East,Black (Regur),963,Rabi,2.12,Pulses,1035
Rajasthan,West,Sandy,900,Kharif,1.32,Wheat,2437
Andhra Pradesh,South,Clay,1118,Rabi,1.75,Wheat,3083
Rajasthan,West,Alluvial,1284,Zaid,2.71,Jute,2670
Assam,Northeast,Sandy,1002,Rabi,0.56,Oilseeds,1096
Arunachal Pradesh,Northeast,Sandy,963,Kharif,1,Potato,18074
Uttarakhand,North,Laterite,748,Kharif,1.8,Millets,1357
Sikkim,Northeast,Clay,0,Zaid,1.69,Cotton,1325
Jharkhand,East,Alluvial,1012,Kharif,1.27,Rice,3537
Goa,West,Laterite,1161,Rabi,2.94,Potato,23439
Jharkhand,East,Black (Regur),1399,Rabi,0.6,Wheat,3078
West Bengal,East,Loamy,1095,Kharif,2.55,Oilseeds,1446
Bihar,East,Red,830,Kharif,2.06,Pulses,871
Meghalaya,Northeast,Black (Regur),793,Rabi,1,Millets,1972
Madhya Pradesh,Central,Sandy,688,Kharif,1.3,Wheat,2297
Maharashtra,West,Clay,836,Rabi,0.66,Rice,3259
West Bengal,East,Laterite,1158,Zaid,1.91,Maize,2609
Chhattisgarh,Central,Black (Regur),947,Kharif,1.14,Maize,3257
Tamil Nadu,South,Alluvial,810,Rabi,1.68,Wheat,3673
Assam,Northeast,Laterite,819,Kharif,1.86,Wheat,2388
Uttarakhand,North,Laterite,1133,Kharif,2.63,Potato,20666
Telangana,South,Loamy,980,Kharif,1.77,Millets,1541
Tripura,Northeast,Black (Regur),638,Rabi,0.1,Sugarcane,74336
Himachal Pradesh,North,Loamy,1117,Kharif,1.1,Wheat,3188
Chhattisgarh,Central,Alluvial,1100,Kharif,3.32,Sugarcane,76652
Assam,Northeast,Red,657,Rabi,2.16,Rice,3158
Rajasthan,West,Alluvial,436,Kharif,0.1,Rice,2971
Goa,West,Sandy,1063,Kharif,1.08,Cotton,1834
Arunachal Pradesh,Northeast,Sandy,411,Rabi,0.67,Rice,2423
Assam,Northeast,Red,1241,Rabi,1.14,Jute,2766
Telangana,South,Loamy,487,Kharif,2.59,Wheat,2874
Tripura,Northeast,Black (Regur),956,Kharif,1.26,Maize,3282
Manipur,Northeast,Loamy,997,Kharif,3.27,Maize,3823
Goa,West,Loamy,392,Rabi,1.2,Oilseeds,1431
Karnataka,South,Black (Regur),794,Kharif,0.1,Cotton,2076
Punjab,North,Sandy,357,Rabi,1.53,Maize,2993
Jharkhand,East,Clay,569,Rabi,1.51,Maize,3634
Goa,West,Red,1122,Kharif,3.36,Potato,24078
Himachal Pradesh,North,Laterite,1241,Zaid,1.25,Jute,2187
Madhya Pradesh,Central,Loamy,512,Kharif,3.22,Jute,2400
Sikkim,Northeast,Loamy,1001,Kharif,1.44,Cotton,2358
Nagaland,Northeast,Red,367,Kharif,0.5,Cotton,1764
Manipur,Northeast,Black (Regur),1171,Rabi,0.71,Wheat,3178
Bihar,East,Clay,810,Kharif,1.75,Jute,2770
Meghalaya,Northeast,Alluvial,1069,Kharif,1.67,Oilseeds,1287
Gujarat,West,Sandy,1404,Rabi,2.33,Pulses,829
Gujarat,West,Clay,846,Rabi,3.19,Wheat,3002
Himachal Pradesh,North,Loamy,717,Kharif,1.9,Potato,23371
Arunachal Pradesh,Northeast,Red,842,Zaid,2.26,Pulses,805
Nagaland,Northeast,Loamy,1232,Kharif,0.69,Rice,3443
Punjab,North,Sandy,507,Rabi,4.65,Jute,1924
Manipur,Northeast,Red,1200,Kharif,1.27,Sugarcane,67719
Manipur,Northeast,Loamy,1033,Kharif,1.4,Cotton,2379
Gujarat,West,Laterite,943,Rabi,2.3,Cotton,2275
Odisha,East,Red,1182,Kharif,0.64,Wheat,2904
Rajasthan,West,Red,547,Kharif,1.11,Jute,1998
Goa,West,Sandy,616,Rabi,1.19,Millets,1382
Maharashtra,West,Clay,1387,Kharif,2.7,Wheat,2595
Punjab,North,Loamy,1023,Rabi,1.26,Oilseeds,1497
Uttar Pradesh,North,Black (Regur),963,Kharif,0.1,Wheat,2899
Meghalaya,Northeast,Clay,425,Zaid,2.66,Pulses,693
Kerala,South,Red,847,Rabi,3.78,Pulses,1021
Andhra Pradesh,South,Alluvial,1044,Kharif,0.1,Sugarcane,79880
Punjab,North,Sandy,941,Zaid,4.73,Cotton,1643
Madhya Pradesh,Central,Sandy,1177,Kharif,1.06,Maize,2800
Karnataka,South,Alluvial,1005,Rabi,1.93,Vegetables,21483
Uttarakhand,North,Clay,1092,Rabi,1.24,Wheat,2927
Andhra Pradesh,South,Alluvial,126,Rabi,0.63,Vegetables,15123
Telangana,South,Loamy,760,Rabi,2.19,Cotton,2393
Nagaland,Northeast,Clay,956,Rabi,0.1,Potato,23290
Chhattisgarh,Central,Sandy,1426,Rabi,3.26,Wheat,2171
Jharkhand,East,Alluvial,531,Kharif,3.25,Pulses,865
Uttar Pradesh,North,Loamy,788,Kharif,0.43,Jute,2794
Manipur,Northeast,Alluvial,672,Zaid,0.1,Rice,2605
Karnataka,South,Sandy,1264,Rabi,1.55,Potato,23441
Gujarat,West,Sandy,1246,Kharif,3.47,Wheat,2698
Andhra Pradesh,South,Loamy,1067,Rabi,2.19,Cotton,2720
Kerala,South,Black (Regur),540,Rabi,1.54,Pulses,1070
Himachal Pradesh,North,Loamy,589,Kharif,2.49,Vegetables,15797
Uttar Pradesh,North,Black (Regur),458,Rabi,2.42,Jute,2698
Punjab,North,Red,826,Kharif,1.18,Maize,3440
Mizoram,Northeast,Sandy,423,Rabi,0.1,Jute,2088
Bihar,East,Clay,906,Kharif,2.34,Jute,2455
Tripura,Northeast,Loamy,740,Kharif,2.68,Jute,2938
Nagaland,Northeast,Laterite,1093,Kharif,2.08,Vegetables,16469
Uttar Pradesh,North,Loamy,910,Kharif,0.45,Jute,2557
Arunachal Pradesh,Northeast,Red,1030,Kharif,2.02,Jute,2437
Haryana,North,Loamy,874,Rabi,1.45,Oilseeds,1432
Uttarakhand,North,Sandy,1318,Zaid,1.92,Wheat,1916
Uttarakhand,North,Red,830,Kharif,1.9,Jute,2391
Arunachal Pradesh,Northeast,Black (Regur),483,Kharif,0.1,Jute,2603
Bihar,East,Alluvial,1495,Kharif,1.4,Pulses,842
Assam,Northeast,Red,870,Rabi,1.47,Rice,3133
Uttar Pradesh,North,Red,702,Kharif,2.95,Pulses,856
Goa,West,Alluvial,1224,Kharif,0.1,Pulses,1067
Sikkim,Northeast,Sandy,657,Kharif,1.56,Oilseeds,915
Himachal Pradesh,North,Red,1207,Rabi,0.24,Cotton,2280
Assam,Northeast,Alluvial,610,Rabi,1.74,Oilseeds,1270
Gujarat,West,Sandy,917,Rabi,0.46,Oilseeds,1214
West Bengal,East,Laterite,652,Zaid,2.37,Vegetables,12345
Tripura,Northeast,Black (Regur),687,Kharif,3.77,Millets,1377
Manipur,Northeast,Laterite,670,Kharif,1.73,Oilseeds,1059
Manipur,Northeast,Sandy,744,Kharif,1.79,Sugarcane,57210
Karnataka,South,Alluvial,390,Kharif,3.35,Cotton,2003
Madhya Pradesh,Central,Sandy,485,Kharif,2.24,Millets,1150
Bihar,East,Alluvial,926,Rabi,2.98,Potato,26421
Punjab,North,Black (Regur),837,Kharif,0.1,Potato,24231
Goa,West,Red,894,Rabi,1.59,Maize,3513
Tamil Nadu,South,Clay,918,Zaid,2.54,Wheat,2469
Karnataka,South,Alluvial,844,Rabi,1.61,Potato,30082
Goa,West,Sandy,886,Kharif,1.51,Cotton,1775
Arunachal Pradesh,Northeast,Red,720,Rabi,1.39,Maize,3704
Bihar,East,Black (Regur),676,Kharif,2.72,Millets,1492
Kerala,South,Red,1301,Rabi,0.19,Vegetables,15000
Himachal Pradesh,North,Alluvial,721,Kharif,1.95,Maize,3590
Andhra Pradesh,South,Black (Regur),893,Kharif,0.71,Pulses,1019
Himachal Pradesh,North,Black (Regur),1032,Zaid,0.98,Millets,1443
Karnataka,South,Red,1251,Kharif,1.87,Jute,2554
Bihar,East,Clay,710,Rabi,4.58,Oilseeds,1504
Chhattisgarh,Central,Red,769,Rabi,0.62,Potato,22037
Jharkhand,East,Red,1147,Rabi,2.47,Rice,3245
